Host Name,Site Name,Latitude,Longitude,Boot,Distance,
planetlab1.csee.usf.edu,University of South Florida (CSE),28.0587,-82.4152,planetlab1.csee.usf.edu,1224 miles,
,,,,planetlab2.csee.usf.edu,,
,,,,planetlab3.csee.usf.edu,,
,,,,planetlab4.csee.usf.edu,,
,,,,planetlab5.csee.usf.edu,,
,,,,planetlab6.csee.usf.edu,,
,,,,,,
salt.planetlab.cs.umd.edu,University of Maryland,38.9886,-76.9445,miranda.planetlab.cs.umd.edu,1058 miles,
,,,,osiris.planetlab.cs.umd.edu,,
,,,,salt.planetlab.cs.umd.edu,,
,,,,whitefall.planetlab.cs.umd.edu,,
,,,,,,
planetlab-2.cse.ohio-state.edu,Ohio State University,39.98,-83.03,planetlab-1.cse.ohio-state.edu,657 miles,
,,,,planetlab-2.cse.ohio-state.edu,,
,,,,,,
planetlab3.wail.wisc.edu,University of Wisconsin,43.0757,-89.3867,planetlab3.wail.wisc.edu,489 miles,
,,,,,,
planetlab04.cs.washington.edu,University of Washington,47.6531,-122.313,planetlab01.cs.washington.edu,1863 miles,
,,,,planetlab02.cs.washington.edu,,
,,,,planetlab03.cs.washington.edu,,
,,,,planetlab04.cs.washington.edu,,
,,,,,,
planetlab3.rutgers.edu,Rutgers University,40.4896,-74.4082,planetlab1.rutgers.edu,1180 miles,
,,,,planetlab2.rutgers.edu,,
,,,,planetlab3.rutgers.edu,,
,,,,planetlab4.rutgers.edu,,
,,,,,,
planetlabone.ccs.neu.edu,Northeastern University CCIS,42.37,-71.03,planetlabone.ccs.neu.edu,1393 miles,
,,,,planetlabtwo.ccs.neu.edu,,
,,,,,,
planetlab1.netlab.uky.edu,University of Kentucky,38.0401,-84.5054,planetlab1.netlab.uky.edu,604 miles,
,,,,planetlab2.netlab.uky.edu,,
,,,,,,
pl1.cs.montana.edu,Montana State University,45.6666,-111.049,pl1.cs.montana.edu,1158 miles,
,,,,pl2.cs.montana.edu,,
,,,,,,
planetlab2.arizona-gigapop.net,University of Arizona,32.2333,-110.948,planetlab1.arizona-gigapop.net,1203 miles,
