Host Name,Location Name,Latitude,Longitude,All Site Nodes,Distance from UMKC(Mils)
planetlab-2.cse.ohio-state.edu,Ohio State University,39.98,-83.03,planetlab-1.cse.ohio-state.edu,657
,,,,planetlab-2.cse.ohio-state.edu,
planetlab3.wail.wisc.edu,University of Wisconsin,43.0757,-89.3867,planetlab4.wail.wisc.edu,489
,,,,planetlab3.wail.wisc.edu,
planetlab04.cs.washington.edu,University of Washington,47.6531,-122.313,planetlab01.cs.washington.edu,1842
,,,,planetlab02.cs.washington.edu,
,,,,planetlab03.cs.washington.edu,
,,,,planetlab04.cs.washington.edu,
planetlab5.csee.usf.edu,University of South Florida (CSE),28.0587,-82.4152,planetlab1.csee.usf.edu,1248
,,,,planetlab2.csee.usf.edu,
,,,,planetlab3.csee.usf.edu,
,,,,"4,5,6",
planetlab1.netlab.uky.edu,University of Kentucky,38.0401,-84.5054,planetlab1.netlab.uky.edu,582
,,,,planetlab2.netlab.uky.edu,
planetlab2.cs.uoregon.edu,University of Oregon,44.04,-123.06,planetlab1.cs.uoregon.edu,1820
,,,,planetlab2.cs.uoregon.edu,
,,,,"3,4",
pl1.eecs.utk.edu,University of Tennessee at Knoxville,35.9483,-83.9367,pl1.eecs.utk.edu,730
,,,,pl2.eecs.utk.edu,
planetlab2.cs.pitt.edu,University of Pittsburgh,40.26,-80,planetlab1.cs.pitt.edu,844
,,,,2,
planetlab2.cs.unc.edu,University of North Carolina at Chapel Hill,35.92,-79.04,planetlab1.cs.unc.edu,1042
,,,,2,
planetlab2.unl.edu,University of Nebraska - Lincoln,40.8,-96.6667,planetlab1.unl.edu,199
,,,,2,
planetlab2.unr.edu,"University of Nevada, Reno",39.5398,-119.814,planetlab1.unr.edu,1594
,,,,2,
planetlab1.cs.du.edu,University of Denver,39.6798,-104.963,planetlab1.cs.du.edu,612
,,,,2,
planetlab1.cs.ucla.edu,University of California at Los Angeles,34.0711,-118.442,planetlab1.cs.ucla.edu,1638
,,,,2,
pl3.cs.unm.edu,University of New Mexico,35.08,-106.65,pl1.cs.unm.edu,784
,,,,"2,3,4",
planetlab2.arizona-gigapop.net,University of Arizona,32.2333,-110.948,planetlab1.arizona-gigapop.net,1193
,,,,"2,3",
planetlab2.utdallas.edu,University of Texas Dallas - Computer Science,32.9861,-96.75,planetlab1.utdallas.edu,486
,,,,2,
kc-sce-plab2.umkc.edu,University of Missouri Kansas City,39.0386,-94.5794,kc-sce-plab1.umkc.edu,
,,,,2,
