Latitude Longitude
28.0587 -82.4152
38.9886 -76.9445
39.98 -83.03
43.0757 -89.3867
47.6531 -122.313
40.4896 -74.4082
42.37 -71.03
38.0401 -84.5054
45.6666 -111.049
32.2333 -110.948
35.08 -106.65
40.26 -80
40.8 -96.6667
44.04 -123.06
29.7225 -95.3924
39.5398 -119.814
35.92 -79.04
29.68 -82.27
34.0711 -118.442
39.6798 -104.963
32.877 -117.237
42.2736 -71.8098
41.5022 -81.6079
40.1103 -88.2272
42.2477 -83.6226
39.33 -76.6
40.814 -73.6081
33.7772 -84.3976
40.4274 -86.9167
39.9809 -75.157
33.7895 -84.3255
39.98 -83.03
32.9861 -96.75
34.6754 -82.8394
41.5033 -81.6756
42.6544 -71.3266
42.2944 -83.7126
32.7984 -79.9614
33.95 -117.39
37.4557 -122.178
42.8189 -75.5357
42.35 -71.1
39.0386 -94.5794
30.61 -96.34
41.82 -71.42
40.3502 -74.6524
32.73 -97.115
39.19 -96.59
37.2055 -80.4124
36.1222 -97.0714
