source,destination,distance,avg(dd.avgdelay)
planetlabone.ccs.neu.edu,75-130-96-12.static.oxfr.ma.charter.com,40.3915,5
planetlabtwo.ccs.neu.edu,75-130-96-12.static.oxfr.ma.charter.com,40.3915,6
planetlab1.cs.uml.edu,75-130-96-12.static.oxfr.ma.charter.com,36.0409,10
ebb.colgate.edu,75-130-96-12.static.oxfr.ma.charter.com,193.358,11
planetlab2.temple.edu,75-130-96-12.static.oxfr.ma.charter.com,235.434,17
planetlab1.temple.edu,75-130-96-12.static.oxfr.ma.charter.com,235.434,18
planetlab-04.vt.nodes.planet-lab.org,75-130-96-12.static.oxfr.ma.charter.com,575.302,22
salt.planetlab.cs.umd.edu,planetlab2.cnis.nyit.edu,217.196,22.9
planetlab2.cs.pitt.edu,75-130-96-12.static.oxfr.ma.charter.com,447.326,24
planetlab-01.vt.nodes.planet-lab.org,planetlab2.cnis.nyit.edu,442.085,26.22222222222222
planetlab3.cnds.jhu.edu,75-130-96-12.static.oxfr.ma.charter.com,322.619,30
planetlab3.eecs.umich.edu,75-130-96-12.static.oxfr.ma.charter.com,607.964,31
planetlab1.cs.unc.edu,75-130-96-12.static.oxfr.ma.charter.com,585.249,36
planetlab2.cs.pitt.edu,planetlab1.unr.edu,2093.1,38.25675675675676
planet3.cc.gt.atl.ga.us,planetlab1.unr.edu,1989.75,38.591506572295245
node1.planetlab.mathcs.emory.edu,planetlab1.unr.edu,1993.27,38.625754527162975
node2.planetlab.mathcs.emory.edu,planetlab1.unr.edu,1993.27,38.82470119521912
planetlab3.eecs.umich.edu,planetlab1.unr.edu,1880.38,40.59342915811088
planetlab3.cnds.jhu.edu,planetlab1.unr.edu,2283.47,41.18949771689498
planetlab2.temple.edu,planetlab1.unr.edu,2346.81,41.909677419354836
planetlab5.csee.usf.edu,75-130-96-12.static.oxfr.ma.charter.com,1148.32,42
planetlab2.unl.edu,75-130-96-12.static.oxfr.ma.charter.com,1285.07,42
planetlab1.temple.edu,planetlab1.unr.edu,2346.81,42.631130063965884
planetlab1.cs.okstate.edu,75-130-96-12.static.oxfr.ma.charter.com,1411.82,44
planetlab3.wail.wisc.edu,75-130-96-12.static.oxfr.ma.charter.com,893.001,44
planet3.cc.gt.atl.ga.us,75-130-96-12.static.oxfr.ma.charter.com,900.516,45
planetlab2.acis.ufl.edu,75-130-96-12.static.oxfr.ma.charter.com,1046.62,45
planetlab2.uta.edu,planetlab1.unr.edu,1346.73,45.010373443983404
planetlab2.unl.edu,planetlab1.unr.edu,1221.7,45.55327868852459
planetlab1.cs.okstate.edu,planetlab1.unr.edu,1259.87,45.707661290322584
node2.planetlab.mathcs.emory.edu,75-130-96-12.static.oxfr.ma.charter.com,896.963,46
node1.planetlab.mathcs.emory.edu,75-130-96-12.static.oxfr.ma.charter.com,896.963,46
planetlabtwo.ccs.neu.edu,planetlab1.unr.edu,2518.17,46.83400809716599
75-130-96-12.static.oxfr.ma.charter.com,planetlab1.unr.edu,2480.67,46.89655172413793
planetlabone.ccs.neu.edu,planetlab1.unr.edu,2518.17,46.96443514644351
planetlab1.acis.ufl.edu,75-130-96-12.static.oxfr.ma.charter.com,1046.62,47
planetlab2.cs.du.edu,planetlab1.unr.edu,789.709,47.10408163265306
planetlab1.cs.du.edu,planetlab1.unr.edu,789.709,47.41407867494824
planetlab-04.vt.nodes.planet-lab.org,planetlab1.unr.edu,2123.48,47.578494623655914
planetlab2.cs.unc.edu,planetlab1.unr.edu,2223.18,47.725
planetlab5.csee.usf.edu,planetlab1.unr.edu,2269.85,47.8378947368421
planetlab2.uta.edu,75-130-96-12.static.oxfr.ma.charter.com,1528.06,48
planetlab2.cs.du.edu,75-130-96-12.static.oxfr.ma.charter.com,1727.76,49
planetlab1.cs.du.edu,75-130-96-12.static.oxfr.ma.charter.com,1727.76,49
planetlab1.cs.unc.edu,planetlab1.unr.edu,2223.18,49.365800865800864
planetlab2.citadel.edu,planetlab1.unr.edu,2252.22,49.53944020356234
ebb.colgate.edu,planetlab1.unr.edu,2287.31,49.56345177664975
planetlab3.wail.wisc.edu,planetlab1.unr.edu,1589.14,49.79353233830846
planetlab1.acis.ufl.edu,planetlab1.unr.edu,2222.92,51.60475161987041
planetlab2.acis.ufl.edu,planetlab1.unr.edu,2222.92,51.857142857142854
planetlab1.cs.uml.edu,planetlab1.unr.edu,2499.26,52.732394366197184
planetlab2.arizona-gigapop.net,planetlab1.unr.edu,707.239,54.38284518828452
planetlab1.unr.edu,planetlab2.cnis.nyit.edu,2412.34,54.78794178794179
planetlab2.unr.edu,planetlab2.cnis.nyit.edu,2412.34,54.987124463519315
planetlab1.arizona-gigapop.net,planetlab1.unr.edu,707.239,55.01684210526316
planetlab1.ucsd.edu,planetlab1.unr.edu,482.211,55.144654088050316
pl3.cs.unm.edu,75-130-96-12.static.oxfr.ma.charter.com,1929.31,56
planetlab02.cs.washington.edu,planetlab1.unr.edu,574.294,56.27824267782427
planetlab01.cs.washington.edu,planetlab1.unr.edu,574.294,56.41407867494824
planetlab1.cnis.nyit.edu,planetlab2.cs.du.edu,1646.66,57.49523809523809
planetlab2.citadel.edu,75-130-96-12.static.oxfr.ma.charter.com,791.667,58
planetlab3.ucsd.edu,planetlab1.unr.edu,482.211,58.36842105263158
pl2.cs.unm.edu,75-130-96-12.static.oxfr.ma.charter.com,1929.31,60
planetlab2.cnis.nyit.edu,planetlab1.unr.edu,2412.34,61.64
pl3.cs.unm.edu,planetlab1.unr.edu,785.352,61.793103448275865
planetlab1.cs.ucla.edu,planetlab1.unr.edu,385.402,64.27536231884058
planetlab2.cs.uoregon.edu,planetlab1.unr.edu,352.99,64.6457399103139
planetlab4.cs.uoregon.edu,planetlab1.unr.edu,352.99,64.76533333333333
planetlab2.cs.ucla.edu,planetlab1.unr.edu,385.402,65.39795918367346
planetlab3.cs.uoregon.edu,planetlab1.unr.edu,352.99,65.4796573875803
planetlab1.unr.edu,75-130-96-12.static.oxfr.ma.charter.com,2480.67,66
planetlab2.unr.edu,75-130-96-12.static.oxfr.ma.charter.com,2480.67,66
pl2.cs.unm.edu,planetlab1.unr.edu,785.352,68.74631268436578
pl1.cs.montana.edu,planetlab1.unr.edu,614.077,72.7344398340249
