source,destination,distance,avgdelay
planetlabone.ccs.neu.edu,75-130-96-12.static.oxfr.ma.charter.com,40.3915,5
planetlabtwo.ccs.neu.edu,75-130-96-12.static.oxfr.ma.charter.com,40.3915,6
planetlab1.cs.uml.edu,75-130-96-12.static.oxfr.ma.charter.com,36.0409,10
ebb.colgate.edu,75-130-96-12.static.oxfr.ma.charter.com,193.358,11
planetlab3.cnds.jhu.edu,planetlab-01.vt.nodes.planet-lab.org,253.582,12
node2.planetlab.mathcs.emory.edu,planetlab-01.vt.nodes.planet-lab.org,322.686,13
node1.planetlab.mathcs.emory.edu,planetlab-01.vt.nodes.planet-lab.org,322.686,13
planetlab2.temple.edu,planetlab-01.vt.nodes.planet-lab.org,342.436,14
planetlab1.temple.edu,planetlab-01.vt.nodes.planet-lab.org,342.436,14
planetlab2.temple.edu,75-130-96-12.static.oxfr.ma.charter.com,235.434,17
planet3.cc.gt.atl.ga.us,planetlab-01.vt.nodes.planet-lab.org,326.092,17
planet3.cc.gt.atl.ga.us,planetlab-01.vt.nodes.planet-lab.org,326.092,17
planetlab1.temple.edu,75-130-96-12.static.oxfr.ma.charter.com,235.434,18
planet3.cc.gt.atl.ga.us,planetlab-01.vt.nodes.planet-lab.org,326.092,18
planet3.cc.gt.atl.ga.us,planetlab-01.vt.nodes.planet-lab.org,326.092,18
planetlab-04.vt.nodes.planet-lab.org,75-130-96-12.static.oxfr.ma.charter.com,575.302,22
planetlab2.cs.pitt.edu,75-130-96-12.static.oxfr.ma.charter.com,447.326,24
ebb.colgate.edu,planetlab-01.vt.nodes.planet-lab.org,465.687,24
75-130-96-12.static.oxfr.ma.charter.com,planetlab-01.vt.nodes.planet-lab.org,575.302,24
planetlab1.cs.uml.edu,planetlab-01.vt.nodes.planet-lab.org,610.549,24
planetlab2.cs.pitt.edu,planetlab-01.vt.nodes.planet-lab.org,212.222,25
planetlab3.cnds.jhu.edu,75-130-96-12.static.oxfr.ma.charter.com,322.619,30
planetlab3.eecs.umich.edu,75-130-96-12.static.oxfr.ma.charter.com,607.964,31
planetlab1.cs.unc.edu,planetlab-01.vt.nodes.planet-lab.org,117.005,31
planetlab5.csee.usf.edu,planetlab-01.vt.nodes.planet-lab.org,642.618,35
planetlab3.eecs.umich.edu,planetlab-01.vt.nodes.planet-lab.org,392.826,35
planetlab1.cs.unc.edu,75-130-96-12.static.oxfr.ma.charter.com,585.249,36
planetlabone.ccs.neu.edu,planetlab-01.vt.nodes.planet-lab.org,612.177,39
planetlabtwo.ccs.neu.edu,planetlab-01.vt.nodes.planet-lab.org,612.177,39
planetlab3.wail.wisc.edu,planetlab-01.vt.nodes.planet-lab.org,623.239,39
planetlab2.citadel.edu,planetlab-01.vt.nodes.planet-lab.org,305.582,41
planetlab5.csee.usf.edu,75-130-96-12.static.oxfr.ma.charter.com,1148.32,42
planetlab2.acis.ufl.edu,planetlab-01.vt.nodes.planet-lab.org,530.866,42
planetlab2.unl.edu,75-130-96-12.static.oxfr.ma.charter.com,1285.07,42
planetlab3.wail.wisc.edu,75-130-96-12.static.oxfr.ma.charter.com,893.001,44
planetlab1.cs.okstate.edu,75-130-96-12.static.oxfr.ma.charter.com,1411.82,44
planetlab1.acis.ufl.edu,planetlab-01.vt.nodes.planet-lab.org,530.866,45
planetlab2.acis.ufl.edu,75-130-96-12.static.oxfr.ma.charter.com,1046.62,45
planetlab2.unl.edu,planetlab-01.vt.nodes.planet-lab.org,905.913,45
planet3.cc.gt.atl.ga.us,75-130-96-12.static.oxfr.ma.charter.com,900.516,45
planet3.cc.gt.atl.ga.us,75-130-96-12.static.oxfr.ma.charter.com,900.516,45
planet3.cc.gt.atl.ga.us,75-130-96-12.static.oxfr.ma.charter.com,900.516,45
planet3.cc.gt.atl.ga.us,75-130-96-12.static.oxfr.ma.charter.com,900.516,45
node1.planetlab.mathcs.emory.edu,75-130-96-12.static.oxfr.ma.charter.com,896.963,46
node2.planetlab.mathcs.emory.edu,75-130-96-12.static.oxfr.ma.charter.com,896.963,46
planetlab1.acis.ufl.edu,75-130-96-12.static.oxfr.ma.charter.com,1046.62,47
planetlab2.uta.edu,75-130-96-12.static.oxfr.ma.charter.com,1528.06,48
planetlab2.cs.du.edu,75-130-96-12.static.oxfr.ma.charter.com,1727.76,49
planetlab1.cs.du.edu,planetlab-01.vt.nodes.planet-lab.org,1335.36,49
planetlab2.uta.edu,planetlab-01.vt.nodes.planet-lab.org,993.408,49
planetlab1.cs.du.edu,75-130-96-12.static.oxfr.ma.charter.com,1727.76,49
planetlab2.cs.du.edu,planetlab-01.vt.nodes.planet-lab.org,1335.36,50
planetlab1.cs.okstate.edu,planetlab-01.vt.nodes.planet-lab.org,925.173,53
pl3.cs.unm.edu,planetlab-01.vt.nodes.planet-lab.org,1466.68,56
pl3.cs.unm.edu,75-130-96-12.static.oxfr.ma.charter.com,1929.31,56
planetlab2.citadel.edu,75-130-96-12.static.oxfr.ma.charter.com,791.667,58
pl2.cs.unm.edu,75-130-96-12.static.oxfr.ma.charter.com,1929.31,60
planetlab2.unr.edu,75-130-96-12.static.oxfr.ma.charter.com,2480.67,66
planetlab2.unr.edu,75-130-96-12.static.oxfr.ma.charter.com,2480.67,66
planetlab1.unr.edu,75-130-96-12.static.oxfr.ma.charter.com,2480.67,66
planetlab2.arizona-gigapop.net,planetlab-01.vt.nodes.planet-lab.org,1759.98,66
planetlab1.arizona-gigapop.net,planetlab-01.vt.nodes.planet-lab.org,1759.98,67
planetlab01.cs.washington.edu,75-130-96-12.static.oxfr.ma.charter.com,2452.48,74
planetlab2.arizona-gigapop.net,75-130-96-12.static.oxfr.ma.charter.com,2239.32,74
planetlab02.cs.washington.edu,75-130-96-12.static.oxfr.ma.charter.com,2452.48,74
planetlab1.arizona-gigapop.net,75-130-96-12.static.oxfr.ma.charter.com,2239.32,74
planetlab4.cs.uoregon.edu,75-130-96-12.static.oxfr.ma.charter.com,2543.96,80
planetlab01.cs.washington.edu,planetlab-01.vt.nodes.planet-lab.org,2224.59,80
planetlab2.cs.uoregon.edu,75-130-96-12.static.oxfr.ma.charter.com,2543.96,80
planetlab02.cs.washington.edu,planetlab-01.vt.nodes.planet-lab.org,2224.59,80
