source,destination,distance,avgdelay
planet3.cc.gt.atl.ga.us,node2.planetlab.mathcs.emory.edu,4.22698,1
planet3.cc.gt.atl.ga.us,node2.planetlab.mathcs.emory.edu,4.22698,1
planet3.cc.gt.atl.ga.us,node2.planetlab.mathcs.emory.edu,4.22698,1
planet3.cc.gt.atl.ga.us,node1.planetlab.mathcs.emory.edu,4.22698,1
planet3.cc.gt.atl.ga.us,node2.planetlab.mathcs.emory.edu,4.22698,1
planet3.cc.gt.atl.ga.us,node2.planetlab.mathcs.emory.edu,4.22698,1
planet3.cc.gt.atl.ga.us,node2.planetlab.mathcs.emory.edu,4.22698,1
node1.planetlab.mathcs.emory.edu,planet3.cc.gt.atl.ga.us,4.22698,1
planet3.cc.gt.atl.ga.us,node1.planetlab.mathcs.emory.edu,4.22698,1
planet3.cc.gt.atl.ga.us,node2.planetlab.mathcs.emory.edu,4.22698,1
node2.planetlab.mathcs.emory.edu,planet3.cc.gt.atl.ga.us,4.22698,1
planet3.cc.gt.atl.ga.us,node2.planetlab.mathcs.emory.edu,4.22698,1
planet3.cc.gt.atl.ga.us,node2.planetlab.mathcs.emory.edu,4.22698,1
planet3.cc.gt.atl.ga.us,node1.planetlab.mathcs.emory.edu,4.22698,1
planet3.cc.gt.atl.ga.us,node1.planetlab.mathcs.emory.edu,4.22698,1
planet3.cc.gt.atl.ga.us,node2.planetlab.mathcs.emory.edu,4.22698,1
node2.planetlab.mathcs.emory.edu,planet3.cc.gt.atl.ga.us,4.22698,1
planet3.cc.gt.atl.ga.us,node1.planetlab.mathcs.emory.edu,4.22698,1
planet3.cc.gt.atl.ga.us,node2.planetlab.mathcs.emory.edu,4.22698,1
planet3.cc.gt.atl.ga.us,node2.planetlab.mathcs.emory.edu,4.22698,1
planet3.cc.gt.atl.ga.us,node1.planetlab.mathcs.emory.edu,4.22698,1
planet3.cc.gt.atl.ga.us,node1.planetlab.mathcs.emory.edu,4.22698,1
node2.planetlab.mathcs.emory.edu,planet3.cc.gt.atl.ga.us,4.22698,1
planet3.cc.gt.atl.ga.us,node1.planetlab.mathcs.emory.edu,4.22698,1
planet3.cc.gt.atl.ga.us,node2.planetlab.mathcs.emory.edu,4.22698,1
