distance,cdf
4.22698,0.0005254861
4.22698,0.0010509721
4.22698,0.0015764582
4.22698,0.0021019443
24.7867,0.0026274304
24.7867,0.0031529164
24.7867,0.0036784025
24.7867,0.0042038886
29.9522,0.0047293747
36.0409,0.0052548607
36.0409,0.0057803468
40.3915,0.0063058329
40.3915,0.006831319
40.3915,0.007356805
40.3915,0.0078822911
88.9667,0.0084077772
88.9667,0.0089332633
88.9667,0.0094587493
88.9667,0.0099842354
99.7813,0.0105097215
99.7813,0.0110352076
99.7813,0.0115606936
99.7813,0.0120861797
99.7813,0.0126116658
99.7813,0.0131371519
99.7813,0.0136626379
99.7813,0.014188124
107.845,0.0147136101
107.845,0.0152390962
107.845,0.0157645822
107.845,0.0162900683
107.845,0.0168155544
107.845,0.0173410405
107.845,0.0178665265
107.845,0.0183920126
112.37,0.0189174987
112.37,0.0194429848
112.37,0.0199684708
112.37,0.0204939569
117.005,0.021019443
117.005,0.0215449291
117.005,0.0220704151
117.005,0.0225959012
117.005,0.0231213873
117.005,0.0236468734
117.417,0.0241723594
117.417,0.0246978455
137.18,0.0252233316
137.18,0.0257488177
137.18,0.0262743037
137.18,0.0267997898
170.413,0.0273252759
170.413,0.027850762
170.413,0.028376248
170.413,0.0289017341
171.184,0.0294272202
171.184,0.0299527063
171.184,0.0304781923
171.184,0.0310036784
171.184,0.0315291645
171.184,0.0320546506
171.184,0.0325801366
171.184,0.0331056227
173.221,0.0336311088
173.221,0.0341565949
173.221,0.0346820809
173.221,0.035207567
184.814,0.0357330531
188.505,0.0362585391
188.505,0.0367840252
188.505,0.0373095113
188.505,0.0378349974
191.586,0.0383604834
191.586,0.0388859695
193.358,0.0394114556
193.358,0.0399369417
197.075,0.0404624277
197.075,0.0409879138
197.075,0.0415133999
197.075,0.042038886
212.222,0.042564372
212.222,0.0430898581
212.222,0.0436153442
213.892,0.0441408303
213.892,0.0446663163
217.196,0.0451918024
217.196,0.0457172885
217.196,0.0462427746
217.196,0.0467682606
221.999,0.0472937467
221.999,0.0478192328
221.999,0.0483447189
