source,destination,distance,avgdelay
planetlab1.cs.ucla.edu,planetlab-04.vt.nodes.planet-lab.org,2132.24,501
planetlab3.cs.uoregon.edu,planetlab1.ucsd.edu,832.625,501
planetlab2.temple.edu,planetlab1.cs.okstate.edu,1218.48,501
planetlab1.temple.edu,planetlab1.arizona-gigapop.net,2053.47,501
planetlab2.cs.ucla.edu,planetlab1.unr.edu,385.402,501
planetlab2.temple.edu,planetlab1.cs.du.edu,1574.28,501
planetlab1.cs.okstate.edu,planetlab2.cs.uoregon.edu,1471.11,501
planetlab2.cs.du.edu,planetlab1.unr.edu,789.709,501
node2.planetlab.mathcs.emory.edu,planetlab1.unr.edu,1993.27,501
planetlab2.uta.edu,planetlabtwo.ccs.neu.edu,1568.12,501
planetlab2.unr.edu,planetlab2.cs.uoregon.edu,352.99,501
planetlab2.unr.edu,planetlab2.cs.uoregon.edu,352.99,501
planetlab2.unr.edu,planetlab2.unl.edu,1221.7,501
planetlab2.citadel.edu,75-130-96-12.static.oxfr.ma.charter.com,791.667,501
planetlab2.unr.edu,planetlab2.unl.edu,1221.7,501
planetlab1.temple.edu,node2.planetlab.mathcs.emory.edu,662.495,501
planetlab2.unr.edu,planetlab2.cs.du.edu,789.709,502
planetlab2.cnis.nyit.edu,planetlab2.unl.edu,1202.47,502
planetlab1.unr.edu,planetlab3.cs.uoregon.edu,352.99,502
planetlab3.cs.uoregon.edu,planetlab3.eecs.umich.edu,1967.73,502
planetlab2.uta.edu,planetlabone.ccs.neu.edu,1568.12,502
planetlab2.unr.edu,planetlab3.cs.uoregon.edu,352.99,502
planetlab2.unr.edu,planetlab2.unl.edu,1221.7,502
planetlab2.unr.edu,planetlab2.unl.edu,1221.7,502
planetlab1.unr.edu,planetlab01.cs.washington.edu,574.294,502
planetlab2.cs.ucla.edu,planetlabone.ccs.neu.edu,2601.94,503
planetlab2.cs.pitt.edu,planetlab1.unr.edu,2093.1,503
pl2.cs.unm.edu,planetlab1.arizona-gigapop.net,315.844,503
planetlab1.cs.uml.edu,pl3.cs.unm.edu,1955.47,503
pl1.cs.montana.edu,planetlab3.wail.wisc.edu,1081.38,503
planetlab2.acis.ufl.edu,planetlab2.unl.edu,1115.4,503
planetlab1.unr.edu,planetlab2.arizona-gigapop.net,707.239,503
planetlab3.cnds.jhu.edu,planetlab3.cs.uoregon.edu,2387.39,503
planetlab2.temple.edu,planetlab2.arizona-gigapop.net,2053.47,503
planetlab2.arizona-gigapop.net,planetlab1.acis.ufl.edu,1703.38,503
planetlab2.uta.edu,planetlabone.ccs.neu.edu,1568.12,503
pl2.cs.unm.edu,planetlab1.ucsd.edu,625.075,503
planetlab2.unr.edu,planetlab2.unl.edu,1221.7,503
planetlab2.uta.edu,75-130-96-12.static.oxfr.ma.charter.com,1528.06,504
planetlab-04.vt.nodes.planet-lab.org,pl3.cs.unm.edu,1466.68,504
pl2.cs.unm.edu,planetlabtwo.ccs.neu.edu,1969.45,504
planetlab4.cs.uoregon.edu,planetlab3.eecs.umich.edu,1967.73,504
planetlab2.cs.uoregon.edu,planetlab2.temple.edu,2440.52,504
node2.planetlab.mathcs.emory.edu,planetlab1.unr.edu,1993.27,504
planetlab2.temple.edu,planetlab1.cs.du.edu,1574.28,504
planetlab1.cs.ucla.edu,planetlab1.temple.edu,2398.59,504
planetlab1.unr.edu,planetlab4.cs.uoregon.edu,352.99,504
planetlab2.cs.uoregon.edu,planetlab2.uta.edu,1598.03,504
planetlab3.wail.wisc.edu,planetlab1.unr.edu,1589.14,504
pl2.cs.unm.edu,planetlab2.cs.du.edu,331.033,504
planetlab3.cs.uoregon.edu,planetlab1.cs.du.edu,976.442,504
planetlab2.unr.edu,planetlab3.cs.uoregon.edu,352.99,504
planet3.cc.gt.atl.ga.us,planetlab-01.vt.nodes.planet-lab.org,326.092,505
planetlab1.cs.du.edu,planetlab1.cs.unc.edu,1433.75,505
planet3.cc.gt.atl.ga.us,planetlab1.cs.unc.edu,337.891,505
planetlab1.arizona-gigapop.net,planetlab2.citadel.edu,1799.36,505
planetlab1.cs.du.edu,planetlab2.unr.edu,789.709,505
node2.planetlab.mathcs.emory.edu,pl1.cs.montana.edu,1628.77,505
planetlab1.cs.du.edu,planetlab1.arizona-gigapop.net,613.476,505
planetlab1.cs.uml.edu,planetlab2.cs.uoregon.edu,2557.8,505
pl1.cs.montana.edu,node1.planetlab.mathcs.emory.edu,1628.77,505
planet3.cc.gt.atl.ga.us,planetlab1.cs.unc.edu,337.891,505
node1.planetlab.mathcs.emory.edu,pl3.cs.unm.edu,1272.71,505
planet3.cc.gt.atl.ga.us,planetlab-01.vt.nodes.planet-lab.org,326.092,505
planetlab1.unr.edu,planetlab4.cs.uoregon.edu,352.99,505
planetlab3.eecs.umich.edu,planetlab02.cs.washington.edu,1902.26,505
planetlab1.ucsd.edu,planetlab2.uta.edu,1166.91,505
planetlab2.unr.edu,planetlab2.arizona-gigapop.net,707.239,506
planetlab2.unr.edu,planetlab3.wail.wisc.edu,1589.14,506
planet3.cc.gt.atl.ga.us,planetlab1.cnis.nyit.edu,765.866,506
planet3.cc.gt.atl.ga.us,planetlab2.unr.edu,1989.75,506
planetlab2.cs.du.edu,planetlab1.arizona-gigapop.net,613.476,506
planetlab2.temple.edu,planetlab3.cnds.jhu.edu,88.9667,506
planetlab2.uta.edu,planetlabtwo.ccs.neu.edu,1568.12,506
planetlab3.eecs.umich.edu,planetlab2.temple.edu,472.789,506
planetlab3.cs.uoregon.edu,planetlab2.cs.du.edu,976.442,506
planet3.cc.gt.atl.ga.us,planetlab1.cnis.nyit.edu,765.866,506
planet3.cc.gt.atl.ga.us,planetlab2.unr.edu,1989.75,506
node1.planetlab.mathcs.emory.edu,planetlab1.ucsd.edu,1892.9,506
planetlabone.ccs.neu.edu,planetlab1.cs.du.edu,1766.79,507
planetlab2.arizona-gigapop.net,planetlab5.csee.usf.edu,1723.89,507
planetlab1.ucsd.edu,planetlab01.cs.washington.edu,1054.87,507
pl3.cs.unm.edu,planet3.cc.gt.atl.ga.us,1268.79,507
planetlab2.acis.ufl.edu,planetlab2.unl.edu,1115.4,507
pl3.cs.unm.edu,planet3.cc.gt.atl.ga.us,1268.79,507
ebb.colgate.edu,planetlab3.cs.uoregon.edu,2352.72,507
node1.planetlab.mathcs.emory.edu,planetlab2.unr.edu,1993.27,507
planetlab3.eecs.umich.edu,planetlab3.cs.uoregon.edu,1967.73,507
planetlab4.cs.uoregon.edu,planetlab1.arizona-gigapop.net,1045.87,507
planetlab1.cs.ucla.edu,planetlab2.citadel.edu,2207.47,507
planetlab4.cs.uoregon.edu,planetlab1.cs.ucla.edu,731.704,508
planetlab3.cs.uoregon.edu,planetlab2.uta.edu,1598.03,508
planetlab2.unr.edu,planetlab2.unl.edu,1221.7,508
planetlab2.cs.du.edu,planetlab2.arizona-gigapop.net,613.476,508
ebb.colgate.edu,planetlab4.cs.uoregon.edu,2352.72,508
planetlab2.cs.pitt.edu,planetlab3.wail.wisc.edu,521.731,508
planetlab1.cs.uml.edu,planetlab1.cnis.nyit.edu,173.221,508
planetlab1.acis.ufl.edu,planetlab1.cs.unc.edu,470.121,509
planetlab2.cs.pitt.edu,pl3.cs.unm.edu,1494.69,509
75-130-96-12.static.oxfr.ma.charter.com,planetlab5.csee.usf.edu,1148.32,509
planetlab01.cs.washington.edu,pl3.cs.unm.edu,1184.83,509
planetlab02.cs.washington.edu,pl3.cs.unm.edu,1184.83,509
planetlab01.cs.washington.edu,pl3.cs.unm.edu,1184.83,509
node2.planetlab.mathcs.emory.edu,planetlab5.csee.usf.edu,411.823,509
ebb.colgate.edu,planetlabtwo.ccs.neu.edu,231.249,509
pl2.cs.unm.edu,planetlab2.cs.du.edu,331.033,509
pl2.cs.unm.edu,planetlab2.cs.du.edu,331.033,510
planetlab01.cs.washington.edu,pl3.cs.unm.edu,1184.83,510
planetlab01.cs.washington.edu,pl3.cs.unm.edu,1184.83,510
planetlab2.unr.edu,node2.planetlab.mathcs.emory.edu,1993.27,510
planetlab1.ucsd.edu,node1.planetlab.mathcs.emory.edu,1892.9,510
planetlab2.unr.edu,planetlab3.wail.wisc.edu,1589.14,511
planetlab2.unr.edu,planetlab3.wail.wisc.edu,1589.14,511
planet3.cc.gt.atl.ga.us,planetlab3.cnds.jhu.edu,577.963,511
75-130-96-12.static.oxfr.ma.charter.com,planetlab2.citadel.edu,791.667,511
planetlab1.cs.du.edu,planetlab1.arizona-gigapop.net,613.476,511
planetlabone.ccs.neu.edu,planetlab1.cnis.nyit.edu,171.184,511
planetlab2.unr.edu,node1.planetlab.mathcs.emory.edu,1993.27,511
planetlab4.cs.uoregon.edu,planetlab2.uta.edu,1598.03,511
planetlab5.csee.usf.edu,planetlab4.cs.uoregon.edu,2492.18,511
planet3.cc.gt.atl.ga.us,planetlab3.cnds.jhu.edu,577.963,511
planetlab2.acis.ufl.edu,planetlab1.cs.du.edu,1456.94,511
node1.planetlab.mathcs.emory.edu,planetlab3.cnds.jhu.edu,574.391,512
planet3.cc.gt.atl.ga.us,planetlab1.temple.edu,666.111,512
planetlab2.unl.edu,planetlab1.cnis.nyit.edu,1202.47,512
planetlab2.acis.ufl.edu,planetlab1.ucsd.edu,2067.33,512
planetlab1.cs.du.edu,planetlab2.unr.edu,789.709,512
planetlab2.cs.ucla.edu,planetlab2.unl.edu,1277.72,512
node2.planetlab.mathcs.emory.edu,planetlab1.temple.edu,662.495,512
planetlab2.unr.edu,ebb.colgate.edu,2287.31,512
planet3.cc.gt.atl.ga.us,planetlab1.temple.edu,666.111,512
planetlab3.cs.uoregon.edu,planetlab2.arizona-gigapop.net,1045.87,512
planetlab1.temple.edu,planetlab1.cs.okstate.edu,1218.48,512
planetlab1.cs.okstate.edu,planetlab4.cs.uoregon.edu,1471.11,512
planet3.cc.gt.atl.ga.us,planetlab1.temple.edu,666.111,513
planetlab2.unr.edu,planetlab1.cs.ucla.edu,385.402,513
planetlab2.unl.edu,planetlab2.unr.edu,1221.7,513
planetlab2.unr.edu,node1.planetlab.mathcs.emory.edu,1993.27,513
planetlab2.cs.pitt.edu,pl1.cs.montana.edu,1602.95,513
planetlab2.cs.uoregon.edu,planetlab2.uta.edu,1598.03,513
planet3.cc.gt.atl.ga.us,planetlab1.temple.edu,666.111,513
node1.planetlab.mathcs.emory.edu,planetlab2.unr.edu,1993.27,513
planetlab5.csee.usf.edu,planetlab1.arizona-gigapop.net,1723.89,513
planetlab2.cs.uoregon.edu,planetlab2.uta.edu,1598.03,513
ebb.colgate.edu,planetlab4.cs.uoregon.edu,2352.72,513
planetlab-04.vt.nodes.planet-lab.org,planetlab1.cs.unc.edu,117.005,514
planetlab1.cs.okstate.edu,planetlab3.cs.uoregon.edu,1471.11,514
planetlab2.unr.edu,planetlab4.cs.uoregon.edu,352.99,514
planetlab2.cs.du.edu,planetlab1.arizona-gigapop.net,613.476,514
ebb.colgate.edu,planetlab5.csee.usf.edu,1089.95,514
planet3.cc.gt.atl.ga.us,planetlab2.unr.edu,1989.75,514
planetlab2.unr.edu,planetlab3.wail.wisc.edu,1589.14,514
pl1.cs.montana.edu,planetlab2.cs.pitt.edu,1602.95,514
planet3.cc.gt.atl.ga.us,planetlab2.unr.edu,1989.75,514
planetlabone.ccs.neu.edu,planetlab2.cs.ucla.edu,2601.94,515
planetlab3.cs.uoregon.edu,planetlab3.eecs.umich.edu,1967.73,515
planetlab1.temple.edu,planetlab1.arizona-gigapop.net,2053.47,515
planetlab2.cs.du.edu,planetlab1.arizona-gigapop.net,613.476,515
planetlab2.cs.uoregon.edu,planetlab3.eecs.umich.edu,1967.73,515
planetlab1.ucsd.edu,pl3.cs.unm.edu,625.075,515
planetlab4.cs.uoregon.edu,planetlab1.arizona-gigapop.net,1045.87,515
planetlab1.unr.edu,planetlab1.acis.ufl.edu,2222.92,515
planetlab2.acis.ufl.edu,planetlab1.cs.du.edu,1456.94,515
planetlab1.cs.du.edu,planetlabone.ccs.neu.edu,1766.79,516
planetlab2.temple.edu,planetlabone.ccs.neu.edu,270.723,516
planetlab1.cs.du.edu,planetlab2.cs.ucla.edu,838.534,516
planet3.cc.gt.atl.ga.us,planetlab2.unr.edu,1989.75,516
planetlab1.cs.du.edu,planetlab1.unr.edu,789.709,516
planetlab2.cs.uoregon.edu,planetlab3.eecs.umich.edu,1967.73,516
pl2.cs.unm.edu,planetlabtwo.ccs.neu.edu,1969.45,516
planetlab1.cs.unc.edu,planetlab2.cs.du.edu,1433.75,516
planetlab1.cs.du.edu,planetlab1.arizona-gigapop.net,613.476,516
node1.planetlab.mathcs.emory.edu,planetlab1.acis.ufl.edu,308.555,516
planetlab1.cs.okstate.edu,planetlab2.temple.edu,1218.48,516
planet3.cc.gt.atl.ga.us,planetlab2.unr.edu,1989.75,516
node1.planetlab.mathcs.emory.edu,planetlab1.arizona-gigapop.net,1542.02,517
planetlab2.unr.edu,planetlab1.acis.ufl.edu,2222.92,517
planetlab2.cs.uoregon.edu,planetlab1.cs.du.edu,976.442,517
planetlabone.ccs.neu.edu,planetlab1.cnis.nyit.edu,171.184,517
planetlab2.cs.du.edu,planetlab2.unr.edu,789.709,517
planetlab3.cnds.jhu.edu,planetlab3.wail.wisc.edu,712.426,517
planetlab1.ucsd.edu,node2.planetlab.mathcs.emory.edu,1892.9,517
planetlab2.unr.edu,planetlab3.wail.wisc.edu,1589.14,518
planetlab1.cs.okstate.edu,planetlab2.cs.uoregon.edu,1471.11,518
node1.planetlab.mathcs.emory.edu,planetlab2.temple.edu,662.495,518
planetlab2.cs.uoregon.edu,planetlab2.temple.edu,2440.52,518
planetlab2.cs.ucla.edu,planetlab1.cs.uml.edu,2585.79,518
planetlab2.arizona-gigapop.net,planetlab5.csee.usf.edu,1723.89,519
planetlab2.citadel.edu,pl3.cs.unm.edu,1533.43,519
planetlab2.temple.edu,planetlab3.eecs.umich.edu,472.789,519
planetlab1.cs.du.edu,planetlab2.arizona-gigapop.net,613.476,519
planetlab1.acis.ufl.edu,planetlab2.cs.pitt.edu,742.176,519
planetlab1.cnis.nyit.edu,planetlab1.temple.edu,99.7813,519
planetlab2.unr.edu,planetlab1.cs.okstate.edu,1259.87,519
node1.planetlab.mathcs.emory.edu,planetlab1.unr.edu,1993.27,519
node1.planetlab.mathcs.emory.edu,planetlab2.unl.edu,832.231,519
planetlab2.acis.ufl.edu,planetlab1.cs.du.edu,1456.94,519
planetlab1.cs.okstate.edu,planetlab3.cs.uoregon.edu,1471.11,520
planetlab2.cs.pitt.edu,pl3.cs.unm.edu,1494.69,520
planetlab1.cs.du.edu,planetlabtwo.ccs.neu.edu,1766.79,520
node1.planetlab.mathcs.emory.edu,planetlab1.unr.edu,1993.27,520
planetlab1.unr.edu,planetlab2.cs.pitt.edu,2093.1,520
planetlab1.arizona-gigapop.net,planetlab5.csee.usf.edu,1723.89,521
planetlab1.acis.ufl.edu,ebb.colgate.edu,981.499,521
planetlab2.cs.du.edu,planetlabone.ccs.neu.edu,1766.79,521
planet3.cc.gt.atl.ga.us,planetlab2.temple.edu,666.111,521
planet3.cc.gt.atl.ga.us,planetlab2.cnis.nyit.edu,765.866,521
planetlab2.cs.ucla.edu,planetlab1.temple.edu,2398.59,521
planet3.cc.gt.atl.ga.us,planetlab2.temple.edu,666.111,521
planetlab2.citadel.edu,planetlab1.cs.uml.edu,827.514,521
planetlab2.cs.uoregon.edu,planetlab2.uta.edu,1598.03,521
planetlab01.cs.washington.edu,pl3.cs.unm.edu,1184.83,521
planetlab2.cs.du.edu,planetlab2.arizona-gigapop.net,613.476,521
planet3.cc.gt.atl.ga.us,planetlab2.cnis.nyit.edu,765.866,521
planetlab3.cs.uoregon.edu,planetlab2.arizona-gigapop.net,1045.87,521
planetlab2.cs.du.edu,planetlabone.ccs.neu.edu,1766.79,522
planetlab2.unl.edu,planetlab2.unr.edu,1221.7,522
planetlab1.cs.uml.edu,planetlab1.arizona-gigapop.net,2266.19,522
node1.planetlab.mathcs.emory.edu,planetlab1.ucsd.edu,1892.9,522
planetlab1.cnis.nyit.edu,planetlab2.acis.ufl.edu,910.347,522
planetlab2.acis.ufl.edu,node2.planetlab.mathcs.emory.edu,308.555,523
planetlab5.csee.usf.edu,planetlab1.temple.edu,921.877,523
planetlab2.cs.du.edu,planetlabtwo.ccs.neu.edu,1766.79,523
planetlab4.cs.uoregon.edu,planetlab1.cs.okstate.edu,1471.11,523
planetlab2.acis.ufl.edu,planetlab3.wail.wisc.edu,1005.74,523
planetlab1.cs.okstate.edu,planetlab2.temple.edu,1218.48,523
ebb.colgate.edu,planetlab4.cs.uoregon.edu,2352.72,523
planetlab1.cs.du.edu,planetlabone.ccs.neu.edu,1766.79,523
planetlab2.acis.ufl.edu,planetlab1.ucsd.edu,2067.33,524
planetlab1.cs.okstate.edu,planetlab4.cs.uoregon.edu,1471.11,524
planetlab2.cs.du.edu,planetlabone.ccs.neu.edu,1766.79,524
planetlab1.cs.ucla.edu,pl1.cs.montana.edu,891.034,524
node1.planetlab.mathcs.emory.edu,planetlab2.temple.edu,662.495,524
ebb.colgate.edu,planetlab3.cs.uoregon.edu,2352.72,524
planetlab2.unr.edu,node1.planetlab.mathcs.emory.edu,1993.27,524
planetlab2.citadel.edu,planetlab1.acis.ufl.edu,254.988,524
planetlab1.cs.du.edu,planetlab2.arizona-gigapop.net,613.476,524
