source,destination,distance,avg(dd.avgdelay)
planetlab4.tamu.edu,planetlab2.acis.ufl.edu,842.608,1
planet3.cc.gt.atl.ga.us,node2.planetlab.mathcs.emory.edu,4.22698,1.05
node2.planetlab.mathcs.emory.edu,planet3.cc.gt.atl.ga.us,4.22698,1.1
planet3.cc.gt.atl.ga.us,node1.planetlab.mathcs.emory.edu,4.22698,1.15
node1.planetlab.mathcs.emory.edu,planet3.cc.gt.atl.ga.us,4.22698,1.2
75-130-96-12.static.oxfr.ma.charter.com,planetlabtwo.ccs.neu.edu,40.3915,3
planetlabone.ccs.neu.edu,75-130-96-12.static.oxfr.ma.charter.com,40.3915,3
75-130-96-12.static.oxfr.ma.charter.com,planetlabone.ccs.neu.edu,40.3915,3
planetlabtwo.ccs.neu.edu,75-130-96-12.static.oxfr.ma.charter.com,40.3915,3.1
planetlab3.cnds.jhu.edu,salt.planetlab.cs.umd.edu,29.9522,4.571428571428571
planetlabone.ccs.neu.edu,planetlab1.cs.uml.edu,24.7867,4.888888888888889
planetlabtwo.ccs.neu.edu,planetlab1.cs.uml.edu,24.7867,5
planetlab01.cs.washington.edu,planetlab2.cs.uoregon.edu,252.225,7
planetlab4.cs.uoregon.edu,planetlab01.cs.washington.edu,252.225,7
planetlab4.cs.uoregon.edu,planetlab02.cs.washington.edu,252.225,7
planetlab02.cs.washington.edu,planetlab3.cs.uoregon.edu,252.225,7
planetlab3.cs.uoregon.edu,planetlab01.cs.washington.edu,252.225,7
planetlab3.cs.uoregon.edu,planetlab02.cs.washington.edu,252.225,7
planetlab01.cs.washington.edu,planetlab3.cs.uoregon.edu,252.225,7
planetlab02.cs.washington.edu,planetlab2.cs.uoregon.edu,252.225,7
planetlab2.cs.uoregon.edu,planetlab01.cs.washington.edu,252.225,7
planetlab2.cs.uoregon.edu,planetlab02.cs.washington.edu,252.225,7
75-130-96-12.static.oxfr.ma.charter.com,ebb.colgate.edu,193.358,7.1
planetlab02.cs.washington.edu,planetlab4.cs.uoregon.edu,252.225,7.111111111111111
