source,destination,distance,avg(dd.avgdelay)
planet3.cc.gt.atl.ga.us,node2.planetlab.mathcs.emory.edu,4.22698,1.05
node2.planetlab.mathcs.emory.edu,planet3.cc.gt.atl.ga.us,4.22698,1.1
planet3.cc.gt.atl.ga.us,node1.planetlab.mathcs.emory.edu,4.22698,1.15
node1.planetlab.mathcs.emory.edu,planet3.cc.gt.atl.ga.us,4.22698,1.6
planetlabone.ccs.neu.edu,75-130-96-12.static.oxfr.ma.charter.com,40.3915,4
planetlabtwo.ccs.neu.edu,75-130-96-12.static.oxfr.ma.charter.com,40.3915,4
75-130-96-12.static.oxfr.ma.charter.com,planetlabtwo.ccs.neu.edu,40.3915,4.2
75-130-96-12.static.oxfr.ma.charter.com,planetlabone.ccs.neu.edu,40.3915,4.333333333333333
planetlabone.ccs.neu.edu,planetlab1.cs.uml.edu,24.7867,5
planetlab3.cnds.jhu.edu,salt.planetlab.cs.umd.edu,29.9522,5
planetlabtwo.ccs.neu.edu,planetlab1.cs.uml.edu,24.7867,5
planetlab01.cs.washington.edu,planetlab2.cs.uoregon.edu,252.225,7
planetlab3.cs.uoregon.edu,planetlab01.cs.washington.edu,252.225,7
planetlab3.cs.uoregon.edu,planetlab02.cs.washington.edu,252.225,7
planetlab02.cs.washington.edu,planetlab2.cs.uoregon.edu,252.225,7
planetlab2.cs.uoregon.edu,planetlab01.cs.washington.edu,252.225,7
planetlab01.cs.washington.edu,planetlab4.cs.uoregon.edu,252.225,7
planetlab02.cs.washington.edu,planetlab3.cs.uoregon.edu,252.225,7.1
planetlab01.cs.washington.edu,planetlab3.cs.uoregon.edu,252.225,7.1
planetlab2.cs.uoregon.edu,planetlab02.cs.washington.edu,252.225,7.111111111111111
planetlab4.cs.uoregon.edu,planetlab01.cs.washington.edu,252.225,7.142857142857143
planetlab4.cs.uoregon.edu,planetlab02.cs.washington.edu,252.225,7.142857142857143
75-130-96-12.static.oxfr.ma.charter.com,ebb.colgate.edu,193.358,7.3
planetlab02.cs.washington.edu,planetlab4.cs.uoregon.edu,252.225,7.444444444444445
ebb.colgate.edu,75-130-96-12.static.oxfr.ma.charter.com,193.358,7.555555555555555
planetlab2.temple.edu,salt.planetlab.cs.umd.edu,117.417,8
planetlab1.temple.edu,planetlab3.cnds.jhu.edu,88.9667,8.625
planetlabone.ccs.neu.edu,planetlab2.temple.edu,270.723,9
planetlab1.temple.edu,planetlabone.ccs.neu.edu,270.723,9
planetlab2.temple.edu,planetlabtwo.ccs.neu.edu,270.723,9
planetlabtwo.ccs.neu.edu,planetlab1.temple.edu,270.723,9
planetlabtwo.ccs.neu.edu,planetlab2.temple.edu,270.723,9.11111111111111
planetlabone.ccs.neu.edu,planetlab1.temple.edu,270.723,9.125
planetlab1.temple.edu,salt.planetlab.cs.umd.edu,117.417,9.142857142857142
planetlabone.ccs.neu.edu,ebb.colgate.edu,231.249,9.3
planetlab2.temple.edu,planetlabone.ccs.neu.edu,270.723,9.333333333333334
planetlab3.cnds.jhu.edu,planetlab2.temple.edu,88.9667,9.375
planetlabtwo.ccs.neu.edu,ebb.colgate.edu,231.249,9.4
ebb.colgate.edu,planetlabtwo.ccs.neu.edu,231.249,9.444444444444445
planetlab2.temple.edu,planetlab3.cnds.jhu.edu,88.9667,9.625
planetlab1.temple.edu,planetlabtwo.ccs.neu.edu,270.723,10.1
75-130-96-12.static.oxfr.ma.charter.com,planetlab1.cs.uml.edu,36.0409,10.11111111111111
planetlab5.csee.usf.edu,planetlab2.acis.ufl.edu,112.37,10.555555555555555
planetlab5.csee.usf.edu,planetlab1.acis.ufl.edu,112.37,10.555555555555555
planetlab1.cs.okstate.edu,planetlab2.unl.edu,323.96,11.11111111111111
planetlab-04.vt.nodes.planet-lab.org,salt.planetlab.cs.umd.edu,225.227,11.142857142857142
planetlab2.temple.edu,ebb.colgate.edu,197.075,11.4
planetlab1.temple.edu,ebb.colgate.edu,197.075,11.5
planetlab2.cs.unc.edu,planet3.cc.gt.atl.ga.us,337.891,12
planetlab2.unl.edu,planetlab1.cs.okstate.edu,323.96,12
planet3.cc.gt.atl.ga.us,planetlab2.cs.unc.edu,337.891,12
planetlab2.citadel.edu,planet3.cc.gt.atl.ga.us,264.983,12
planetlab-01.vt.nodes.planet-lab.org,salt.planetlab.cs.umd.edu,225.227,12
planetlab1.acis.ufl.edu,planetlab5.csee.usf.edu,112.37,12.1
planetlab-04.vt.nodes.planet-lab.org,node2.planetlab.mathcs.emory.edu,322.686,12.2
node1.planetlab.mathcs.emory.edu,planetlab-04.vt.nodes.planet-lab.org,322.686,12.333333333333334
node1.planetlab.mathcs.emory.edu,planetlab2.cs.unc.edu,333.827,12.333333333333334
planetlab-04.vt.nodes.planet-lab.org,node1.planetlab.mathcs.emory.edu,322.686,12.4
planetlab2.cs.unc.edu,node2.planetlab.mathcs.emory.edu,333.827,12.5
planetlab2.cs.unc.edu,node1.planetlab.mathcs.emory.edu,333.827,12.5
node2.planetlab.mathcs.emory.edu,planetlab-04.vt.nodes.planet-lab.org,322.686,12.555555555555555
planetlab1.ucsd.edu,planetlab2.cs.ucla.edu,107.845,13
planetlab3.ucsd.edu,planetlab2.cs.ucla.edu,107.845,13
planetlab1.cs.ucla.edu,planetlab3.ucsd.edu,107.845,13
node2.planetlab.mathcs.emory.edu,planetlab-01.vt.nodes.planet-lab.org,322.686,13
node2.planetlab.mathcs.emory.edu,planetlab2.citadel.edu,261.163,13
planetlab3.ucsd.edu,planetlab1.cs.ucla.edu,107.845,13
node2.planetlab.mathcs.emory.edu,planetlab2.cs.unc.edu,333.827,13
planetlab3.cnds.jhu.edu,planetlab-04.vt.nodes.planet-lab.org,253.582,13.11111111111111
planetlab2.cs.ucla.edu,planetlab3.ucsd.edu,107.845,13.2
node1.planetlab.mathcs.emory.edu,planetlab-01.vt.nodes.planet-lab.org,322.686,13.222222222222221
planetlab2.citadel.edu,node2.planetlab.mathcs.emory.edu,261.163,13.333333333333334
node1.planetlab.mathcs.emory.edu,planetlab2.citadel.edu,261.163,13.333333333333334
ebb.colgate.edu,planetlab2.temple.edu,197.075,13.375
planetlab1.cs.ucla.edu,planetlab1.ucsd.edu,107.845,13.714285714285714
planetlab1.cs.unc.edu,planet3.cc.gt.atl.ga.us,337.891,13.8
planetlab2.temple.edu,planetlab-01.vt.nodes.planet-lab.org,342.436,14
planetlab-04.vt.nodes.planet-lab.org,planetlab2.temple.edu,342.436,14
planetlab1.ucsd.edu,planetlab1.arizona-gigapop.net,368.903,14.142857142857142
planet3.cc.gt.atl.ga.us,planetlab1.cs.unc.edu,337.891,14.166666666666666
planet3.cc.gt.atl.ga.us,planetlab5.csee.usf.edu,412.204,14.2
planetlab3.cnds.jhu.edu,ebb.colgate.edu,247.357,14.3
planetlab5.csee.usf.edu,planet3.cc.gt.atl.ga.us,412.204,14.3
planetlab1.temple.edu,planetlab-01.vt.nodes.planet-lab.org,342.436,14.333333333333334
planetlab1.arizona-gigapop.net,planetlab3.ucsd.edu,368.903,14.4
