source,destination,distance,avgdelay
planetlabtwo.ccs.neu.edu,ebb.colgate.edu,231.249,313
pl1.cs.montana.edu,ebb.colgate.edu,1754.34,406
planetlab1.unr.edu,ebb.colgate.edu,2287.31,443
planetlab2.unr.edu,ebb.colgate.edu,2287.31,534
planetlab-04.vt.nodes.planet-lab.org,ebb.colgate.edu,465.687,558
planetlab1.cs.uml.edu,ebb.colgate.edu,213.892,561
node2.planetlab.mathcs.emory.edu,ebb.colgate.edu,784.142,613
planetlab2.cs.ucla.edu,ebb.colgate.edu,2371.99,645
planetlab3.cs.uoregon.edu,ebb.colgate.edu,2352.72,649
planetlab1.cs.ucla.edu,ebb.colgate.edu,2371.99,699
planetlab02.cs.washington.edu,ebb.colgate.edu,2265.25,705
planetlab5.csee.usf.edu,ebb.colgate.edu,1089.95,732
planetlab2.uta.edu,ebb.colgate.edu,1363.34,737
planetlab1.arizona-gigapop.net,ebb.colgate.edu,2055.63,748
planetlab1.acis.ufl.edu,ebb.colgate.edu,981.499,752
planetlab2.cs.pitt.edu,ebb.colgate.edu,290.74,755
planetlab2.cs.du.edu,ebb.colgate.edu,1536.1,766
planetlab2.arizona-gigapop.net,ebb.colgate.edu,2055.63,774
planetlab1.temple.edu,ebb.colgate.edu,197.075,780
pl3.cs.unm.edu,ebb.colgate.edu,1743.93,795
planetlab01.cs.washington.edu,ebb.colgate.edu,2265.25,796
node1.planetlab.mathcs.emory.edu,ebb.colgate.edu,784.142,802
planet3.cc.gt.atl.ga.us,ebb.colgate.edu,787.204,806
planetlab3.eecs.umich.edu,ebb.colgate.edu,417.59,823
planetlab2.acis.ufl.edu,ebb.colgate.edu,981.499,842
planetlab1.cs.unc.edu,ebb.colgate.edu,511.997,846
planetlab1.cs.okstate.edu,ebb.colgate.edu,1233.99,872
planetlab2.unl.edu,ebb.colgate.edu,1094.27,873
planetlab1.cs.du.edu,ebb.colgate.edu,1536.1,889
75-130-96-12.static.oxfr.ma.charter.com,ebb.colgate.edu,193.358,904
planetlab3.wail.wisc.edu,ebb.colgate.edu,699.976,915
planetlabone.ccs.neu.edu,ebb.colgate.edu,231.249,936
planetlab3.cnds.jhu.edu,ebb.colgate.edu,247.357,966
planetlab2.cs.uoregon.edu,ebb.colgate.edu,2352.72,983
planetlab2.temple.edu,ebb.colgate.edu,197.075,993
