source,destination,distance,avg(dd.avgdelay)
75-130-96-12.static.oxfr.ma.charter.com,ebb.colgate.edu,193.358,340.9714285714286
planetlabtwo.ccs.neu.edu,ebb.colgate.edu,231.249,406.65714285714284
planetlabone.ccs.neu.edu,ebb.colgate.edu,231.249,401.57142857142856
planetlab1.cs.uml.edu,ebb.colgate.edu,213.892,599
planetlab2.temple.edu,ebb.colgate.edu,197.075,426.9117647058824
planetlab1.temple.edu,ebb.colgate.edu,197.075,399.14285714285717
planetlab3.cnds.jhu.edu,ebb.colgate.edu,247.357,472.79411764705884
planetlab2.cnis.nyit.edu,ebb.colgate.edu,170.413,583.1
planetlab-04.vt.nodes.planet-lab.org,ebb.colgate.edu,465.687,528.9705882352941
planet3.cc.gt.atl.ga.us,ebb.colgate.edu,787.204,549.9848484848485
node1.planetlab.mathcs.emory.edu,ebb.colgate.edu,784.142,502.29411764705884
node2.planetlab.mathcs.emory.edu,ebb.colgate.edu,784.142,426.96774193548384
planetlab3.eecs.umich.edu,ebb.colgate.edu,417.59,507.7096774193548
planetlab2.cs.pitt.edu,ebb.colgate.edu,290.74,418.258064516129
planetlab2.cs.unc.edu,ebb.colgate.edu,511.997,465.8333333333333
planetlab1.cs.unc.edu,ebb.colgate.edu,511.997,559.7575757575758
planetlab5.csee.usf.edu,ebb.colgate.edu,1089.95,534.8214285714286
planetlab3.wail.wisc.edu,ebb.colgate.edu,699.976,543.6923076923077
planetlab1.cs.okstate.edu,ebb.colgate.edu,1233.99,637.0625
planetlab2.acis.ufl.edu,ebb.colgate.edu,981.499,634.2068965517242
planetlab1.acis.ufl.edu,ebb.colgate.edu,981.499,574.6129032258065
planetlab2.cs.du.edu,ebb.colgate.edu,1536.1,570.09375
planetlab2.uta.edu,ebb.colgate.edu,1363.34,536.2142857142857
planetlab1.cs.du.edu,ebb.colgate.edu,1536.1,621.4137931034483
planetlab2.citadel.edu,ebb.colgate.edu,733.032,734.8695652173913
planetlab2.unl.edu,ebb.colgate.edu,1094.27,654.25
planetlab2.arizona-gigapop.net,ebb.colgate.edu,2055.63,672.1538461538462
pl3.cs.unm.edu,ebb.colgate.edu,1743.93,684.3913043478261
planetlab1.arizona-gigapop.net,ebb.colgate.edu,2055.63,574.4583333333334
planetlab02.cs.washington.edu,ebb.colgate.edu,2265.25,605.6153846153846
planetlab01.cs.washington.edu,ebb.colgate.edu,2265.25,609.6785714285714
planetlab1.cs.ucla.edu,ebb.colgate.edu,2371.99,522.75
planetlab3.ucsd.edu,ebb.colgate.edu,2350.28,746.75
planetlab1.ucsd.edu,ebb.colgate.edu,2350.28,817.0526315789474
planetlab2.cs.uoregon.edu,ebb.colgate.edu,2352.72,673.68
planetlab4.cs.uoregon.edu,ebb.colgate.edu,2352.72,611.6666666666666
planetlab3.cs.uoregon.edu,ebb.colgate.edu,2352.72,506
planetlab2.unr.edu,ebb.colgate.edu,2287.31,617.204081632653
planetlab1.unr.edu,ebb.colgate.edu,2287.31,538.48
pl1.cs.montana.edu,ebb.colgate.edu,1754.34,486
pl2.cs.unm.edu,ebb.colgate.edu,1743.93,569.8
planetlab1.cnis.nyit.edu,ebb.colgate.edu,170.413,236.33333333333334
planetlab2.cs.ucla.edu,ebb.colgate.edu,2371.99,555.7826086956521
