id,sitename,hostname,latitude,longitude
63,University of nevada-Reno,planetlab1.unr.edu,39.5398,-119.814
64,University of New Mexico,pl2.cs.unm.edu,35.08,-106.65
65,New York Institute of Tech,planetlab2.cnis.nyit.edu,40.814,-73.6081
66,Rutgers University,planetlab2.rutgers.edu,40.4896,-74.4082
67,University of Denver,planetlab2.cs.du.edu,39.6798,-104.963
68,University of California at San Diego,planetlab2.ucsd.edu,32.877,-117.237
69,University of Oregon,planetlab3.cs.uoregon.edu,44.04,-123.06
70,Boston University,planetlab-01.bu.edu,42.35,-71.1
71,Johns Hopkins CNDS,planetlab4.cnds.jhu.edu,39.33,-76.6
72,North eastern University CCIS,planetlabtwo.ccs.neu.edu,42.37,-71.03
73,Purdue,planetlab1.cs.purdue.edu,40.4274,-86.9167
74,Tennesse University,planetlab2.tsuniv.edu,36.1659,-86.8313
75,Tennesse University,planetlab1.tsuniv.edu,36.1659,-86.8313
76,University of California at San Diego,planetlab3.ucsd.edu,32.877,-117.237
77,SRI International,pl-node-1.csl.sri.com,37.4557,-122.178
78,Emory University,node2.planetlab.mathcs.emory.edu,33.7895,-84.3255
79,University of South Florida,planetlab5.csee.usf.edu,28.0587,-82.4152
80,Eastern Michigan University,planetlab1.emich.edu,42.2477,-83.6226
81,Worcester Polytechnic Institute,75-130-96-12.static.oxfr.ma.charter.com,42.2736,-71.8098
82,Colgate University,ebb.colgate.edu,42.8189,-75.5357
83,University of Missouri Kansas City,kc-sce-plab2.umkc.edu,39.0386,-94.5794
84,Emory University,node1.planetlab.mathcs.emory.edu,33.7895,-84.3255
85,Montana State University,pl1.cs.montana.edu,45.6666,-111.049
86,University of New Mexico,pl3.cs.unm.edu,35.08,-106.65
87,Kansas State University,plab3.eece.ksu.edu,39.19,-96.59
88,Georgia Institute of Technology,planet3.cc.gt.atl.ga.us,33.7772,-84.3976
89,Princeton,planetlab-01.cs.princeton.edu,40.3502,-74.6524
90,Boston University,planetlab-02.bu.edu,42.35,-71.1
91,Virginia Tech,planetlab-02.vt.nodes.planet-lab.org,37.2055,-80.4124
92,University of Washington,planetlab04.cs.washington.edu,47.6531,-122.313
93,Clemson University,planetlab1.clemson.edu,34.6754,-82.8394
94,Johns Hopkins CNDS,planetlab1.cnds.jhu.edu,39.33,-76.6
95,New York Institute of Technology,planetlab1.cnis.nyit.edu,40.814,-73.6081
96,University of Denver,planetlab1.cs.du.edu,39.6798,-104.963
97,University of South Florida (CSE),planetlab1.csee.usf.edu,28.0587,-82.4152
98,Ohio State University,planetlab-1.cse.ohio-state.edu,39.98,-83.03
